animal,vehicle,convergence
antelope,bicycle,0.44047619047619047
antelope,boat,0.5145124716553288
antelope,plane,0.5319727891156463
antelope,scooter,0.52375
antelope,skateboard,0.5615079365079365
antelope,unicycle,0.2976190476190476
cat,bicycle,0.5174603174603175
cat,boat,0.48215230536659104
cat,plane,0.6922902494331066
cat,scooter,0.5702380952380952
cat,skateboard,0.30793650793650795
cat,unicycle,0.018518518518518517
flamingo,bicycle,0.4384920634920635
flamingo,boat,0.5663832199546486
flamingo,plane,0.5922902494331066
flamingo,scooter,0.5158730158730158
flamingo,skateboard,0.3615079365079365
flamingo,unicycle,0.3821428571428572
heron,bicycle,0.5585714285714286
heron,boat,0.5162698412698412
heron,plane,0.5831632653061224
heron,scooter,0.4599206349206349
heron,skateboard,0.5912698412698413
heron,unicycle,0.42857142857142855
otter,bicycle,0.5972883597883598
otter,boat,0.7459020476877619
otter,plane,0.5976190476190477
otter,scooter,0.502891156462585
otter,skateboard,0.45992063492063495
otter,unicycle,0.26666666666666666
pelican,bicycle,0.588718820861678
pelican,boat,0.4919501133786848
pelican,plane,0.6031746031746033
pelican,scooter,0.5746031746031746
pelican,skateboard,0.5436507936507936
pelican,unicycle,0.41269841269841273
raccoon,bicycle,0.530952380952381
raccoon,boat,0.2848450491307634
raccoon,plane,0.5146825396825396
raccoon,scooter,0.5188392857142857
raccoon,skateboard,0.43594104308390025
raccoon,unicycle,0.5
whale,bicycle,0.5119047619047619
whale,boat,0.5779306672163815
whale,plane,0.5777777777777777
whale,scooter,0.4865079365079365
whale,skateboard,0.44246031746031744
whale,unicycle,0.32539682539682535
