element,images,share
sun,468,0.4642857142857143
cloud,450,0.44642857142857145
water,184,0.18253968253968253
ground,166,0.16468253968253968
sky,164,0.1626984126984127
star,146,0.14484126984126985
grass,142,0.14087301587301587
motion line,123,0.12202380952380952
scarf,112,0.1111111111111111
line,105,0.10416666666666667
bird,93,0.09226190476190477
circle,59,0.05853174603174603
road,49,0.04861111111111111
helmet,46,0.04563492063492063
hill,45,0.044642857142857144
shadow,38,0.037698412698412696
sail,36,0.03571428571428571
flag,36,0.03571428571428571
mountain,36,0.03571428571428571
sunglasses,32,0.031746031746031744
basket,30,0.02976190476190476
hat,30,0.02976190476190476
flower,30,0.02976190476190476
fish,27,0.026785714285714284
bubble,26,0.025793650793650792
